name,thumbnail,total_view,total_episode,avg_view,link,score,score_count,score_rate,first_launched_date,author,director,agent,animator,types,intro
青之壬生浪,https://p2.bahamut.com.tw/B/ACG/c/23/0000135523.JPG,36000.0,4,9000.0,https://ani.gamer.com.tw/animeRef.php?sn=113677,4.8,336.0,0.009333333333333334,2024-10-19,安田剛士,羽原久美子,曼迪,MAHO FILM,"['青春', '勵志', '歷史']",本作品以約160年前的幕末京都為舞台，描繪新選組的青春物語。因黑船來襲而動亂頻繁的幕末京都裡，總是帶著笑容、溫柔率直同時又帶著強烈正義感的主角，與「壬生浪」的土方歳三和沖田總司相遇為契機，為了和平與正義而成為他們其中一員，並與齋藤一、田中太郎共同為了創造更美好的世界而奔走。在這個金錢、土地、甚至性命也會被無情奪走的時代裡，這就是他們在「新選組」拚上性命保護人民們的青澀正義故事。
香蕉喵遊世界,https://p2.bahamut.com.tw/B/ACG/c/00/0000141500.JPG,21000.0,8,2625.0,https://ani.gamer.com.tw/animeRef.php?sn=113633,4.7,140.0,0.006666666666666667,2024-10-14,Q-LiA,矢立恭,Ani-One,TMS Entertainment（第6工作室）×Lesprit,"['溫馨', '悠閒', '泡麵番', '闔家觀賞']",在某座星球上，誕生了一隻不可思議的生物。牠的名字叫「香蕉喵」，是藏在香蕉裡的神秘小貓咪，沒有人見過牠被香蕉皮包裹的部分…牠們混在真正的香蕉中生活，當沒有人在時，會偷偷地玩耍或惡作劇。喜歡甜點和玩耍，並夢想成為時尚的「巧克力香蕉貓」。牠們會在怎樣的星球上誕生，過上怎樣的生活呢？這一次，將開始周遊世界各個地方的大冒險！
平凡職業造就世界最強 第三季,https://p2.bahamut.com.tw/B/ACG/c/96/0000127096.JPG,517000.0,5,103400.0,https://ani.gamer.com.tw/animeRef.php?sn=113635,4.9,4173.0,0.008071566731141198,2024-10-14,白米良,岩永彰,木棉花,asread.,"['動作', '冒險', '奇幻', '異世界', '魔法']","南雲始一行人打敗了神之使徒「諾因」，並順利擊退侵略王都的魔人族。在攻略剩餘的兩個大迷宮前，為了向荷魯夏帝國求援以協助受災嚴重的海利希王國，一行人決定先將莉莉安娜公主送至帝都。半路上，始一行人遇見了與帝國兵戰鬥的郝里亞族，並得知費雅貝魯根現在正遭受魔人族及帝國兵的侵略。不僅如此，族長卡姆還遭到帝國的囚禁。為了幫助希雅，始發誓將不遺餘力地運用他的力量！！「好了，派對開始了。」「最強」的異世界奇幻作品，第三季開幕！"
香格里拉・開拓異境～糞作獵手挑戰神作～ 第二季,https://p2.bahamut.com.tw/B/ACG/c/12/0000138612.JPG,848000.0,5,169600.0,https://ani.gamer.com.tw/animeRef.php?sn=113665,5.0,6808.0,0.008028301886792454,2024-10-13,硬梨菜、不二涼介,窪岡俊之、池下博紀,木棉花,C2C,"['動作', '冒險', '奇幻']","「你是為了什麼而玩遊戲的？」如果世界上的遊戲有100款神作，那麼也就有存在著1000款糞作。這是深愛糞作也為糞作所鍾愛的男人「陽務樂郎」，持續挑戰與糞作完全極端的神作「香格里拉·開拓異境」的故事。以修復守墓的衛札艾蒙的遺產為目標，為了培養比菈可的「古匠」而前往新的地下城，並再次與追加鰹魚和鉛筆戰士組隊，深入香弗洛世界的深處！與此同時，頂級玩家們為了尋找獨特怪物討伐的消息，紛紛來到了桑樂身邊。各路高手相聚的四方公會會談，展露出「旅狼」的真正價值。一位糞作獵手挑戰神作，最棒的「遊戲×奇幻」冒險譚，再次開幕！！"
魔王 2099,https://p2.bahamut.com.tw/B/ACG/c/43/0000131243.JPG,412000.0,5,82400.0,https://ani.gamer.com.tw/animeRef.php?sn=113662,4.9,3793.0,0.00920631067961165,2024-10-13,紫大悟,安藤良,木棉花,J.C.STAFF,"['動作', '奇幻', '魔法', '科幻', '職場']",這裡是統合曆2099年──新宿市。在被滅亡的500年後，傳說中的魔王「貝爾托爾」再次降臨於發展達到極致的未來都市。巨大都市國家的輝煌繁榮……以及其背後所隱藏的慘烈「黑暗」，藉由「他」的降臨一一揭開。為了統治新世界，魔王將在未來縱橫馳騁！第33屆Fantasia大獎──異次元的《大獎》得獎作，終於動畫化！
精靈幻想記 2,https://p2.bahamut.com.tw/B/ACG/c/89/0000120489.JPG,274000.0,6,45666.666666666664,https://ani.gamer.com.tw/animeRef.php?sn=113671,4.8,2327.0,0.008492700729927007,2024-10-08,北山結莉,山崎理、久保博志,木棉花,TMS Entertainment（第6工作室）、WAO World,"['冒險', '奇幻', '異世界', '魔法']","少年利歐小時候母親遭人殺害，使他成了貧民區的孤兒。他在七歲的某一天，腦中覺醒了意外死去的日本大學生「天川春人」的記憶，並同時覺醒了「龐大的魔力」。在那之後，經歷了種種相遇與離別的利歐，暗自發誓要在雙親的故鄉向殺母仇人復仇。在歷經數年的旅程之後，利歐回到了修托萊地區，並救出了被迫進行政治聯姻的恩師瑟莉亞。然而隨後，像是被突然出現的光柱引導似地，他竟然與前世天川春人的初戀少女綾瀨美春衝擊性地重逢──。前世與今生交錯──異世界轉生奇幻故事的新篇章開幕！！"
妖怪學校的菜鳥老師,https://p2.bahamut.com.tw/B/ACG/c/79/0000136979.JPG,194000.0,6,32333.333333333332,https://ani.gamer.com.tw/animeRef.php?sn=113639,4.8,1431.0,0.007376288659793814,2024-10-08,田中まい,小野勝巳,Ani-One,SATELIGHT,"['校園', '喜劇', '青春', '溫馨', '靈異神怪']",這個故事裡有一名膽小又愛哭的新教師「安倍晴明」。憧憬成為教師的他，剛開始高興不久，卻發現任職的百鬼學園竟然是妖怪們的學校！學園長僱用軟弱怯懦，而且還是人類的晴明究竟是為了什麼…！？描繪了個性迥異的妖怪學生和老師——晴明之間奇妙而熱鬧的日常，這就是一部愉快妖怪學園喜劇！現在，開始上課！
唯願來世不相識,https://p2.bahamut.com.tw/B/ACG/c/30/0000136130.JPG,245000.0,6,40833.333333333336,https://ani.gamer.com.tw/animeRef.php?sn=113637,3.9,2517.0,0.010273469387755103,2024-10-07,小西明日翔,川瀨敏文,Aniplus,Studio DEEN,"['戀愛', '黑暗']",高中女生「染井吉乃」出生成長於黑道之家。雖然家庭環境特殊，卻也一直循規蹈矩過著平穩的日子。然而，就在祖父安排吉乃去跟相親對象共同生活、她與未婚夫「深山霧島」宿命地相遇之後，原本平靜的生活為之一變！外表看似眉清目秀且溫文儒雅的霧島其實是個比黑道流氓還要可怕的男子。在兩人的黑暗背景下，瘋女與瘋男的特別互動就此開始了。
尋神的旅途,https://p2.bahamut.com.tw/B/ACG/c/82/0000135082.JPG,72000.0,6,12000.0,https://ani.gamer.com.tw/animeRef.php?sn=113674,3.7,470.0,0.006527777777777778,2024-10-07,高山忍,山元隼一,木棉花,颱風Graphics,"['冒險', '奇幻', '靈異神怪']",仙界，神仙與人類所居住的那個世界迎來了毀滅的危機。掌握改變世界關鍵的正是尋找著凶神・四凶的歌士一葉與其使役神滇紅。兩人隱瞞著各自的目的尋找著四凶。倍受束縛的家族與其失去的過去，為了取回重要之物，一葉與滇紅將走遍世界。以長年廣受閱讀的高山忍的人氣漫畫為題材所改編，描寫歌士一葉與其使役神滇紅的戰鬥的奇幻動作片！倍受束縛的家族與其失去的過去。為了取回重要之物，歌士一葉與其使役神滇紅的戰鬥即將展開！
LoveLive! SuperStar!! 第三季,https://p2.bahamut.com.tw/B/ACG/c/15/0000127915.JPG,76000.0,6,12666.666666666666,https://ani.gamer.com.tw/animeRef.php?sn=113655,4.5,892.0,0.011736842105263158,2024-10-07,矢立肇,京極尚彥,木棉花,SUNRISE,"['校園', '青春', '偶像', '音樂']",從5人開始、9人一起追尋、由11人一同綻放的Liella!的第三年開始了！背著大家偷偷回來的香音、校內突如其來的「新偶像部」、正面宣告要打敗Liella!的葳恩……不可預測的舞台再度歸來！展翅高飛吧！全新的我們！
